episode_seed,i,channel,sources,tool,amount_eur,payee,payee_unknown,cap,n_methods,ttl_s,issuer_on_list,tamper_detail,yA,A_deny_reason,yB,B_mandate,B_execution,B_sole_control,B_legal_effect,B_diag,split,fA_tool_code,fA_log10_amount,fA_payee_unknown,fA_n_methods_allowed,fA_log10_cap,fA_headroom_frac,fA_method_in_scope,fA_expiry_margin_s,fA_issuer_on_list,fB_tool_code,fB_log10_amount,fB_payee_unknown,fB_headroom_frac,fB_expiry_margin_s,fB_issuer_on_list,fB_n_package_fields,fB_nonce_match,fB_ear_nonce_match
20260727,0,clean,"baseline (happy path, demo aaa_demo.py M1)",refund_invoice,23.93,globex,0,500.0,3,252.72,1,,0,,0,True,True,True,True,,train,1.0,1.3789426986134374,0.0,3.0,2.6989700043360187,0.95214,1.0,252.72461574351095,1.0,1.0,1.3789426986134374,0.0,0.95214,252.72461574351095,1.0,9.0,1.0,1.0
20260727,1,clean,"baseline (happy path, demo aaa_demo.py M1)",refund_invoice,273.34,umbrella,0,500.0,3,401.73,1,,0,,0,True,True,True,True,,train,1.0,2.436703190083218,0.0,3.0,2.6989700043360187,0.45332000000000006,1.0,401.73026484584426,1.0,1.0,2.436703190083218,0.0,0.45332000000000006,401.73026484584426,1.0,9.0,1.0,1.0
20260727,2,tampered_ear,demo-attacks:7-tampered-EAR; eatf-vec:tampered-canonical-bin,refund_invoice,11411.33,acme,0,20000.0,1,96.77,1,ear:outcome_sha256,0,,1,True,False,True,True,content-mutated,train,1.0,4.057336264751174,0.0,1.0,4.301029995663981,0.4294335,1.0,96.77214313941795,1.0,1.0,4.057336264751174,0.0,0.4294335,96.77214313941795,1.0,9.0,1.0,1.0
20260727,3,dtbs_field_tamper,demo-m2:binding-tamper-fuzz(7 fields); eatf-vec:tampered-metadata; eatf-vec:tampered-overt-receipt,update_ledger,77.04,px-487,1,2000.0,1,398.79,1,dtbs:mandate_digest,0,,1,True,True,False,True,seal-invalid,train,3.0,1.8867162741164782,1.0,1.0,3.3010299956639813,0.96148,1.0,398.7919661913749,1.0,3.0,1.8867162741164782,1.0,0.96148,398.7919661913749,1.0,9.0,1.0,1.0
20260727,4,clean,"baseline (happy path, demo aaa_demo.py M1)",refund_invoice,313.66,globex,0,5000.0,3,436.75,1,,0,,0,True,True,True,True,,train,1.0,2.4964591381210437,0.0,3.0,3.6989700043360187,0.937268,1.0,436.7490429419252,1.0,1.0,2.4964591381210437,0.0,0.937268,436.7490429419252,1.0,9.0,1.0,1.0
20260727,5,forged_seal,demo-attacks:6-forged-seal; eatf-vec:bad-signature-classical,pay_invoice,596.65,px-351,1,20000.0,2,383.58,1,seal-signature-byte,0,,1,True,True,False,True,seal-invalid,train,0.0,2.7757196449600188,1.0,2.0,4.301029995663981,0.9701675,1.0,383.582887302704,1.0,0.0,2.7757196449600188,1.0,0.9701675,383.582887302704,1.0,9.0,1.0,1.0
20260727,6,clean,"baseline (happy path, demo aaa_demo.py M1)",wire_transfer,121.74,initech,0,2000.0,3,112.93,1,,0,,0,True,True,True,True,,train,2.0,2.08543329741699,0.0,3.0,3.3010299956639813,0.93913,1.0,112.9290100168784,1.0,2.0,2.08543329741699,0.0,0.93913,112.9290100168784,1.0,9.0,1.0,1.0
20260727,7,dtbs_field_tamper,demo-m2:binding-tamper-fuzz(7 fields); eatf-vec:tampered-metadata; eatf-vec:tampered-overt-receipt,pay_invoice,248.91,acme,0,500.0,3,81.1,1,dtbs:holder_cnf_thumbprint,0,,1,True,True,False,True,seal-invalid,train,0.0,2.396042344810998,0.0,3.0,2.6989700043360187,0.50218,1.0,81.097517175204,1.0,0.0,2.396042344810998,0.0,0.50218,81.097517175204,1.0,9.0,1.0,1.0
20260727,8,clean,"baseline (happy path, demo aaa_demo.py M1)",wire_transfer,956.91,px-187,1,2000.0,3,264.92,1,,0,,0,True,True,True,True,,eval,2.0,2.980871093114973,1.0,3.0,3.3010299956639813,0.521545,1.0,264.9155557627357,1.0,2.0,2.980871093114973,1.0,0.521545,264.9155557627357,1.0,9.0,1.0,1.0
20260727,9,clean,"baseline (happy path, demo aaa_demo.py M1)",pay_invoice,1259.06,umbrella,0,2000.0,2,127.47,1,,0,,0,True,True,True,True,,train,0.0,3.100046426730595,0.0,2.0,3.3010299956639813,0.37047,1.0,127.46859356517841,1.0,0.0,3.100046426730595,0.0,0.37047,127.46859356517841,1.0,9.0,1.0,1.0
